year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2019,2,2318927,9815,93191,93419
2019,3,6973049,30864,93411,93419
2019,4,3309122,23703,93415,93419
2019,max,7866557,34435,93419,93419
2020,1,741086,9890,93416,93419
2020,2,5367503,22156,93406,93419
2020,3,10593762,32596,93079,93419
2020,4,2297496,21495,93419,93419
2020,max,12455754,41548,93419,93419
2021,1,188010,2736,93419,93419
2021,2,3471490,19265,93392,93419
2021,3,12249919,32500,93261,93419
2021,4,3391679,24343,93418,93419
2021,max,13104866,36527,93419,93419
2022,1,300837,5946,93419,93419
2022,2,6764258,27988,93410,93419
2022,3,15014322,39139,93417,93419
2022,4,3844289,28078,93419,93419
2022,max,15964755,42812,93419,93419
2023,1,6649,126,93416,93419
2023,2,560060,4102,93404,93419
2023,3,3280642,13944,93415,93419
2023,4,719397,8384,93419,93419
2023,max,3381541,14974,93419,93419
2024,1,27963,492,93419,93419
2024,2,1273645,6392,93416,93419
2024,3,5607759,19823,93124,93419
2024,4,1751630,13753,93419,93419
2024,max,5998229,21876,93419,93419
